EMPLOYER,title,salary,location,submit_date,start_date,status
MOVE LOOT INC,DATA SCIENTIST,100000,"SAN FRANCISCO, CA",5/11/2015,5/25/2015,DENIED
BLUE JEANS NETWORK INC,DATA SCIENTIST,107000,"MOUNTAIN VIEW, CA",5/9/2015,5/15/2015,CERTIFIED
ANTUIT INC,DATA SCIENTIST,110000,"NEW YORK, NY",5/8/2015,5/11/2015,CERTIFIED
ANTUIT INC,DATA SCIENTIST,110000,"NEW YORK, NY",5/8/2015,5/11/2015,CERTIFIED
EARNEST INC,DATA SCIENTIST,120000,"SAN FRANCISCO, CA",5/8/2015,5/18/2015,CERTIFIED
6 SENSE INSIGHTS INC,DATA SCIENTIST,85946,"SAN FRANCISCO, CA",5/7/2015,5/18/2015,CERTIFIED
FACEBOOK INC,DATA SCIENTIST,105000,"MENLO PARK, CA",5/7/2015,6/1/2015,CERTIFIED
APPLE INC,DATA SCIENTIST,120000,"CUPERTINO, CA",5/7/2015,5/20/2015,CERTIFIED
AUDIBLE INC,DATA SCIENTIST,120000,"NEWARK, NJ",5/7/2015,5/26/2015,CERTIFIED
6 SENSE INSIGHTS INC,DATA SCIENTIST,85946,"SAN FRANCISCO, CA",5/6/2015,5/18/2015,CERTIFIED
GROUPON INC,DATA SCIENTIST,120000,"PALO ALTO, CA",5/6/2015,10/1/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,133478,"BELLEVUE, WA",5/6/2015,10/1/2015,CERTIFIED
SMARTER TRAVEL MEDIA LLC,DATA SCIENTIST,86445,"BOSTON, MA",5/5/2015,5/14/2015,CERTIFIED
UBER TECHNOLOGIES INC,DATA SCIENTIST,100000,"SAN FRANCISCO, CA",5/5/2015,5/11/2015,CERTIFIED
YAHOO! INC,DATA SCIENTIST,131269,"SUNNYVALE, CA",5/5/2015,8/26/2015,CERTIFIED
LYFT,DATA SCIENTIST,150000,"SAN FRANCISCO, CA",5/5/2015,5/26/2015,CERTIFIED
MERCK SHARP & DOHME CORP,DATA SCIENTIST,70637,"NORTH WALES, PA",5/4/2015,5/15/2015,CERTIFIED
EMC CORPORATION,DATA SCIENTIST,80750,"HOPKINTON, MA",4/29/2015,9/10/2015,CERTIFIED
6 SENSE INSIGHTS INC,DATA SCIENTIST,85946,"SAN FRANCISCO, CA",4/29/2015,5/18/2015,CERTIFIED
ADOBE SYSTEMS INCORPORATED,DATA SCIENTIST,133099,"SAN JOSE, CA",4/28/2015,6/1/2015,CERTIFIED
PUBMATIC INC,DATA SCIENTIST,133515,"REDWOOD CITY, CA",4/28/2015,5/5/2015,CERTIFIED
INSTITUTE OF GAS TECHNOLOGY,DATA SCIENTIST,110000,"DES PLAINES, IL",4/24/2015,6/1/2015,CERTIFIED
INSTITUTE OF GAS TECHNOLOGY,DATA SCIENTIST,110000,"DES PLAINES, IL",4/24/2015,6/1/2015,CERTIFIED
HOUGHTON MIFFLIN HARCOURT PUBLISHING COMPANY,DATA SCIENTIST,120000,"BOSTON, MA",4/23/2015,4/28/2015,CERTIFIED
ON DECK CAPITAL INC,DATA SCIENTIST,115000,"NEW YORK, NY",4/21/2015,5/1/2015,CERTIFIED
FACEBOOK INC,DATA SCIENTIST,105000,"MENLO PARK, CA",4/20/2015,5/18/2015,CERTIFIED
ZILLOW INC,DATA SCIENTIST,120000,"SEATTLE, WA",4/20/2015,4/27/2015,CERTIFIED
AGILONE INC,DATA SCIENTIST,100000,"SUNNYVALE, CA",4/17/2015,4/23/2015,CERTIFIED
ALTERIAN INC,DATA SCIENTIST,82000,"SEATTLE, WA",4/15/2015,10/1/2015,CERTIFIED
KPMG LLP,DATA SCIENTIST,93912,"NEW YORK, NY",4/15/2015,4/23/2015,CERTIFIED
BAZAARVOICE INC,DATA SCIENTIST,85000,"AUSTIN, TX",4/14/2015,9/28/2015,CERTIFIED
CIGNIFI INC,DATA SCIENTIST,90000,"NATICK, MA",4/10/2015,5/1/2015,CERTIFIED
QUICKEN LOANS INC,DATA SCIENTIST,115500,"HUNTINGTON BEACH, CA",4/10/2015,4/10/2015,CERTIFIED
SYMPHONY TELECA SERVICES INC,DATA SCIENTIST,112000,"PLANO, TX",4/8/2015,4/10/2015,CERTIFIED
CIGNIFI INC,DATA SCIENTIST,90000,"NATICK, MA",4/7/2015,4/27/2015,DENIED
APPLE INC,DATA SCIENTIST,145000,"CUPERTINO, CA",4/7/2015,4/21/2015,CERTIFIED
APPNEXUS INC,DATA SCIENTIST,107750,"NEW YORK, NY",4/3/2015,10/1/2015,CERTIFIED
EVERQUOTE INC,DATA SCIENTIST,80000,"CAMBRIDGE, MA",4/2/2015,7/14/2015,CERTIFIED
HONEST BUILDINGS INC,DATA SCIENTIST,115000,"NEW YORK, NY",3/31/2015,4/13/2015,CERTIFIED
MCKINSEY & COMPANY INC UNITED STATES,DATA SCIENTIST,131860,"WALTHAM, MA",3/30/2015,8/15/2015,CERTIFIED
THINKECO INC,DATA SCIENTIST,80000,"NEW YORK, NY",3/30/2015,9/27/2015,CERTIFIED
SANDOKAN SOLUTIONS LLC,DATA SCIENTIST,68952,"MT LAUREL, NJ",3/28/2015,9/27/2015,CERTIFIED
AVVO INC,DATA SCIENTIST,95000,"SEATTLE, WA",3/27/2015,4/13/2015,CERTIFIED
PIXALATE INC,DATA SCIENTIST,70000,"SANTA MONICA, CA",3/26/2015,9/24/2015,CERTIFIED
COMPUBAHN INC,DATA SCIENTIST,73550,"BETHESDA, MD",3/26/2015,9/24/2015,CERTIFIED
FPT USA CORP,DATA SCIENTIST,87277,"EL SEGUNDO, CA",3/26/2015,9/25/2015,CERTIFIED
REVON SYSTEMS LLC,DATA SCIENTIST,110000,"CRESTWOOD, KY",3/26/2015,9/25/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,112500,"REDMOND, WA",3/26/2015,3/30/2015,CERTIFIED
VASTCOM INC,DATA SCIENTIST,120100,"AUSTIN, TX",3/26/2015,9/24/2015,CERTIFIED
DATAROBOT INC,DATA SCIENTIST,169000,"BOSTON, MA",3/26/2015,4/1/2015,CERTIFIED
SCHLUMBERGER TECHNOLOGY CORPORATION,DATA SCIENTIST,79186,"HOUSTON, TX",3/25/2015,9/20/2015,CERTIFIED
PREMISE DATA CORPORATION,DATA SCIENTIST,100000,"SAN FRANCISCO, CA",3/25/2015,9/15/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,105000,"REDMOND, WA",3/25/2015,9/24/2015,CERTIFIED
GRIDXINC,DATA SCIENTIST,110000,"MILPITAS, CA",3/25/2015,4/6/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,123000,"REDMOND, WA",3/25/2015,9/24/2015,CERTIFIED
XACTWARE SOLUTIONS INC,DATA SCIENTIST,65000,"LEHI, UT",3/24/2015,9/15/2015,CERTIFIED
REPUBLICAN NATIONAL COMMITTEE,DATA SCIENTIST,75000,"WASHINGTON, DC",3/24/2015,6/1/2015,CERTIFIED
SCHLUMBERGER TECHNOLOGY CORPORATION,DATA SCIENTIST,81224,"HOUSTON, TX",3/24/2015,9/20/2015,CERTIFIED
SUMO LOGIC INC,DATA SCIENTIST,160000,"REDWOOD CITY, CA",3/24/2015,4/1/2015,CERTIFIED
DSTILLERY INC,DATA SCIENTIST,100000,"NEW YORK, NY",3/23/2015,9/22/2015,CERTIFIED
LUXE VALET INC,DATA SCIENTIST,110000,"SAN FRANCISCO, CA",3/23/2015,9/19/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,124000,"MOUNTAIN VIEW, CA",3/23/2015,9/20/2015,CERTIFIED
VECTRA NETWORKS INC,DATA SCIENTIST,130000,"SAN JOSE, CA",3/23/2015,9/15/2015,CERTIFIED
TRACEVECTOR INC,DATA SCIENTIST,130000,"SAN JOSE, CA",3/23/2015,9/15/2015,WITHDRAWN
XACTLY CORPORATION,DATA SCIENTIST,157602,"SAN JOSE, CA",3/23/2015,3/30/2015,CERTIFIED
ELANCE-ODESK INC,DATA SCIENTIST,160000,"MOUNTAIN VIEW, CA",3/23/2015,9/18/2015,CERTIFIED
FACEBOOK INC,DATA SCIENTIST,170000,"MENLO PARK, CA",3/23/2015,4/20/2015,CERTIFIED
GUMGUM INC,DATA SCIENTIST,115000,"SANTA MONICA, CA",3/22/2015,4/20/2015,CERTIFIED
ORACLE AMERICA INC,DATA SCIENTIST,46800,"WESTMINSTER, CO",3/20/2015,9/16/2015,CERTIFIED
WEBLINC CORP,DATA SCIENTIST,62525,"PHILADELPHIA, PA",3/20/2015,9/19/2015,CERTIFIED
SYMPHONY TELECA SERVICES INC,DATA SCIENTIST,94931,"PLANO, TX",3/20/2015,8/15/2015,CERTIFIED
AIRPR INC,DATA SCIENTIST,117749,"SAN FRANCISCO, CA",3/20/2015,3/20/2015,CERTIFIED
PINTEREST INC,DATA SCIENTIST,126900,"SAN FRANCISCO, CA",3/20/2015,3/27/2015,CERTIFIED
4RC IO LLC,DATA SCIENTIST,130000,"MCLEAN, VA",3/19/2015,3/25/2015,CERTIFIED
SONY NETWORK ENTERTAINMENT INTERNATIONAL LLC,DATA SCIENTIST,86237,"SAN MATEO, CA",3/19/2015,9/17/2015,CERTIFIED
MOTOROLA SOLUTIONS INC,DATA SCIENTIST,94200,"SALT LAKE CITY, UT",3/19/2015,9/17/2015,CERTIFIED
CONSULTADD INC,DATA SCIENTIST,105000,"JERSEY CITY, NJ",3/19/2015,9/1/2015,CERTIFIED
CONSULTADD INC,DATA SCIENTIST,105000,"JERSEY CITY, NJ",3/19/2015,9/1/2015,CERTIFIED
CONSULTADD INC,DATA SCIENTIST,105000,"JERSEY CITY, NJ",3/19/2015,9/1/2015,CERTIFIED
CONSULTADD INC,DATA SCIENTIST,105000,"JERSEY CITY, NJ",3/19/2015,9/1/2015,CERTIFIED
UBER TECHNOLOGIES INC,DATA SCIENTIST,110000,"SAN FRANCISCO, CA",3/19/2015,3/26/2015,CERTIFIED
JPMORGAN CHASE & CO,DATA SCIENTIST,115000,"NEW YORK, NY",3/19/2015,9/15/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,123000,"CAMBRIDGE, MA",3/19/2015,9/18/2015,CERTIFIED
AIRBNB INC,DATA SCIENTIST,130000,"SAN FRANCISCO, CA",3/19/2015,4/1/2015,CERTIFIED
AIRBNB INC,DATA SCIENTIST,135000,"SAN FRANCISCO, CA",3/19/2015,8/1/2015,CERTIFIED
CROWDSKOUT LLC,DATA SCIENTIST,60000,"WASHINGTON, DC",3/18/2015,9/17/2015,CERTIFIED
SANDOKAN SOLUTIONS LLC,DATA SCIENTIST,68952,"MT LAUREL, NJ",3/18/2015,9/17/2015,CERTIFIED
MASHWORK INC,DATA SCIENTIST,75000,"NEW YORK, NY",3/18/2015,9/17/2015,CERTIFIED
FARMER'S BUSINESS NETWORK INC,DATA SCIENTIST,90000,"SAN CARLOS, CA",3/18/2015,9/15/2015,CERTIFIED
KPMG LLP,DATA SCIENTIST,95000,"CHICAGO, IL",3/18/2015,9/16/2015,CERTIFIED
EXPERIAN INFORMATION SOLUTIONS INC,DATA SCIENTIST,107000,"SAN DIEGO, CA",3/18/2015,9/17/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,112500,"REDMOND, WA",3/18/2015,9/17/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,123000,"BELLEVUE, WA",3/18/2015,9/17/2015,CERTIFIED
ON DECK CAPITAL INC,DATA SCIENTIST,75000,"NEW YORK, NY",3/17/2015,9/1/2015,CERTIFIED
AUTOMOTIVEMASTERMIND LLC,DATA SCIENTIST,80000,"NEW YORK, NY",3/17/2015,9/1/2015,CERTIFIED
ALIVIA CAPITAL LLC,DATA SCIENTIST,90000,"WOBURN, MA",3/17/2015,9/5/2015,CERTIFIED
SLALOM LLC,DATA SCIENTIST,90000,"ATLANTA, GA",3/17/2015,9/11/2015,CERTIFIED
ALEVO INC,DATA SCIENTIST,92000,"CONCORD, NC",3/17/2015,9/16/2015,CERTIFIED
VISUAL IQ INC,DATA SCIENTIST,105000,"NEEDHAM, MA",3/17/2015,9/10/2015,CERTIFIED
HERE NORTH AMERICA LLC,DATA SCIENTIST,110000,"SEATTLE, WA",3/17/2015,9/9/2015,CERTIFIED
EXPERIAN INFORMATION SOLUTIONS INC,DATA SCIENTIST,110000,"SAN DIEGO, CA",3/17/2015,9/15/2015,CERTIFIED
BLOOMBERG LP,DATA SCIENTIST,110000,"PRINCETON, NJ",3/17/2015,4/6/2015,CERTIFIED
PINTEREST INC,DATA SCIENTIST,111500,"SAN FRANCISCO, CA",3/17/2015,3/24/2015,CERTIFIED
RUTHS ANALYTICS AND INNOVATION LLC,DATA SCIENTIST,119276,"HOUSTON, TX",3/17/2015,9/11/2015,CERTIFIED
HORTONWORKS INC,DATA SCIENTIST,125000,"SANTA CLARA, CA",3/17/2015,9/8/2015,CERTIFIED
WAL-MART ASSOCIATES INC,DATA SCIENTIST,135000,"SUNNYVALE, CA",3/17/2015,9/16/2015,CERTIFIED
LIVE NATION WORLDWIDE INC,DATA SCIENTIST,87277,"HOLLYWOOD, CA",3/16/2015,9/9/2015,CERTIFIED
PEBBLE TECHNOLOGY CORP,DATA SCIENTIST,90000,"PALO ALTO, CA",3/16/2015,9/15/2015,CERTIFIED
AMERICAN EXPRESS COMPANY,DATA SCIENTIST,105000,"NEW YORK, NY",3/16/2015,9/12/2015,CERTIFIED
AMERICAN EXPRESS TRS CO INC,DATA SCIENTIST,105000,"NEW YORK, NY",3/16/2015,9/12/2015,CERTIFIED
DRAWBRIDGE INC,DATA SCIENTIST,110000,"SAN MATEO, CA",3/16/2015,9/1/2015,CERTIFIED
AUDIBLE INC,DATA SCIENTIST,115000,"NEWARK, NJ",3/16/2015,9/15/2015,CERTIFIED
DAVOCADO LLC,DATA SCIENTIST,115000,"TACOMA, WA",3/16/2015,9/12/2015,CERTIFIED
FPT USA CORP,DATA SCIENTIST,87277,"EL SEGUNDO, CA",3/14/2015,9/13/2015,CERTIFIED
NEXTECH SOLUTIONS,DATA SCIENTIST,70000,"COLLIERVILLE, TN",3/13/2015,9/10/2015,CERTIFIED
CIVICSCIENCE INC,DATA SCIENTIST,57500,"PITTSBURGH, PA",3/13/2015,9/6/2015,WITHDRAWN
CIVICSCIENCE INC,DATA SCIENTIST,57500,"PITTSBURGH, PA",3/13/2015,9/6/2015,CERTIFIED
TRUSTED PATTERNS INC,DATA SCIENTIST,90000,"SANTA CLARA, CA",3/13/2015,9/4/2015,CERTIFIED
HIREKU INC,DATA SCIENTIST,100000,"PITTSBURGH, PA",3/13/2015,9/12/2015,CERTIFIED
HIREKU,DATA SCIENTIST,100000,"PITTSBURGH, PA",3/13/2015,9/12/2015,CERTIFIED
AUDIBLE INC,DATA SCIENTIST,115000,"NEWARK, NJ",3/13/2015,9/12/2015,CERTIFIED
ELANCE-ODESK INC,DATA SCIENTIST,160000,"MOUNTAIN VIEW, CA",3/13/2015,9/10/2015,WITHDRAWN
OWNERIQ INC,DATA SCIENTIST,63500,"BOSTON, MA",3/12/2015,9/11/2015,CERTIFIED
QCUE INC,DATA SCIENTIST,67000,"AUSTIN, TX",3/12/2015,3/13/2015,CERTIFIED
MONEYLION INC,DATA SCIENTIST,75000,"NEW YORK, NY",3/12/2015,9/9/2015,CERTIFIED
REELIO LABS LLC,DATA SCIENTIST,80000,"NEW YORK, NY",3/12/2015,9/8/2015,CERTIFIED
GROUPON INC,DATA SCIENTIST,85000,"PALO ALTO, CA",3/12/2015,9/1/2015,CERTIFIED
CMI MARKETING INC,DATA SCIENTIST,95000,"NEW YORK, NY",3/12/2015,9/10/2015,CERTIFIED
XOOM CORPORATION,DATA SCIENTIST,110000,"SAN FRANCISCO, CA",3/12/2015,9/11/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,112500,"BELLEVUE, WA",3/12/2015,9/10/2015,CERTIFIED
MACHINE ZONE INC,DATA SCIENTIST,116480,"PALO ALTO, CA",3/12/2015,9/9/2015,CERTIFIED
AXON VIBE INC,DATA SCIENTIST,120000,"NEW YORK, NY",3/12/2015,9/11/2015,CERTIFIED
FACEBOOK INC,DATA SCIENTIST,130000,"MENLO PARK, CA",3/12/2015,3/23/2015,CERTIFIED
FACEBOOK INC,DATA SCIENTIST,149575,"MENLO PARK, CA",3/12/2015,9/9/2015,CERTIFIED
BEHAVIORMATRIX LLC,DATA SCIENTIST,85000,"BLUE BELL, PA",3/11/2015,9/10/2015,CERTIFIED
YELLOWPAGESCOM LLC,DATA SCIENTIST,100000,"NEW YORK, NY",3/11/2015,8/2/2015,CERTIFIED
SUNING COMMERCE R&D CENTER,DATA SCIENTIST,100000,"PALO ALTO, CA",3/11/2015,9/5/2015,CERTIFIED
CERNER CORPORATION,DATA SCIENTIST,101000,"NORTH KANSAS CITY, MO",3/11/2015,8/16/2015,CERTIFIED
GINGERIO INC,DATA SCIENTIST,110000,"SAN FRANCISCO, CA",3/11/2015,9/8/2015,CERTIFIED
SUNING COMMERCE R&D CENTER,DATA SCIENTIST,110000,"PALO ALTO, CA",3/11/2015,9/5/2015,CERTIFIED
TAPAD INC,DATA SCIENTIST,119500,"NEW YORK, NY",3/11/2015,9/1/2015,CERTIFIED
CONEXLINK LLC,DATA SCIENTIST,50731,"CARROLLTON, TX",3/10/2015,9/8/2015,CERTIFIED
DATALINE INC,DATA SCIENTIST,62816,"PRINCETON, NJ",3/10/2015,9/9/2015,CERTIFIED
INTUIT INC,DATA SCIENTIST,70033,"MOUNTAIN VIEW, CA",3/10/2015,9/6/2015,CERTIFIED
NEXMO INC,DATA SCIENTIST,75000,"SAN FRANCISCO, CA",3/10/2015,9/5/2015,CERTIFIED
NORDSTROM INC,DATA SCIENTIST,78000,"SEATTLE, WA",3/10/2015,9/8/2015,CERTIFIED
ACCENTURE LLP,DATA SCIENTIST,86700,"ATLANTA, GA",3/10/2015,8/26/2015,CERTIFIED
ACCOMPLICE INC,DATA SCIENTIST,90000,"SAN FRANCISCO, CA",3/10/2015,9/9/2015,CERTIFIED
APIGEE CORPORATION,DATA SCIENTIST,91000,"SAN JOSE, CA",3/10/2015,9/4/2015,CERTIFIED
INTEL CORPORATION,DATA SCIENTIST,99653,"HILLSBORO, OR",3/10/2015,9/3/2015,CERTIFIED
MEOW GLOBAL NETWORKS INC,DATA SCIENTIST,125000,"LOS ANGELES, CA",3/10/2015,9/1/2015,CERTIFIED
EVERBANK,DATA SCIENTIST,55550,"JACKSONVILLE, FL",3/9/2015,9/8/2015,CERTIFIED
EVERQUOTE INC,DATA SCIENTIST,60000,"CAMBRIDGE, MA",3/9/2015,9/6/2015,CERTIFIED
FPT USA CORP,DATA SCIENTIST,87277,"EL SEGUNDO, CA",3/9/2015,9/6/2015,CERTIFIED
INOVANT LLC,DATA SCIENTIST,87400,"FOSTER CITY, CA",3/9/2015,9/1/2015,CERTIFIED
TRIPADVISOR LLC,DATA SCIENTIST,90000,"NEWTON, MA",3/9/2015,9/1/2015,CERTIFIED
LINKEDIN CORPORATION,DATA SCIENTIST,93000,"MOUNTAIN VIEW, CA",3/9/2015,9/8/2015,CERTIFIED
THE NEW YORK TIMES COMPANY,DATA SCIENTIST,115000,"NEW YORK, NY",3/9/2015,9/5/2015,CERTIFIED
VISIBLE WORLD INC,DATA SCIENTIST,127000,"NEW YORK, NY",3/9/2015,9/8/2015,CERTIFIED
QUANTIFIND INC,DATA SCIENTIST,135000,"MENLO PARK, CA",3/9/2015,9/1/2015,CERTIFIED
FACEBOOK INC,DATA SCIENTIST,140000,"WASHINGTON, DC",3/9/2015,9/6/2015,CERTIFIED
BAIDU USA LLC,DATA SCIENTIST,205000,"SUNNYVALE, CA",3/9/2015,9/2/2015,CERTIFIED
QUANTIFIND INC,DATA SCIENTIST,135000,"MENLO PARK, CA",3/8/2015,9/1/2015,WITHDRAWN
SEGMINT INC,DATA SCIENTIST,54142,"AKRON, OH",3/6/2015,9/5/2015,CERTIFIED
SIMULMEDIA INC,DATA SCIENTIST,75000,"NEW YORK, NY",3/6/2015,9/3/2015,CERTIFIED
CA INC,DATA SCIENTIST,90000,"SAN DIEGO, CA",3/6/2015,9/3/2015,CERTIFIED
EGNYTE INC,DATA SCIENTIST,93974,"MOUNTAIN VIEW, CA",3/6/2015,9/1/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,102000,"REDMOND, WA",3/6/2015,3/7/2015,CERTIFIED
CLEARSLIDE INC,DATA SCIENTIST,110000,"SAN FRANCISCO, CA",3/6/2015,9/4/2015,CERTIFIED
SUPPLY FRAME INC,DATA SCIENTIST,110000,"PASADENA, CA",3/6/2015,9/4/2015,CERTIFIED
MACHINE ZONE INC,DATA SCIENTIST,116480,"PALO ALTO, CA",3/6/2015,3/12/2015,CERTIFIED
TUBEMOGUL INC,DATA SCIENTIST,120000,"EMERYVILLE, CA",3/6/2015,8/27/2015,CERTIFIED
ALIVECOR INC,DATA SCIENTIST,120000,"SAN FRANCISCO, CA",3/6/2015,9/4/2015,CERTIFIED
SOVRN HOLDINGS INC,DATA SCIENTIST,45150,"BOULDER, CO",3/5/2015,9/4/2015,CERTIFIED
INTUIT INC,DATA SCIENTIST,70033,"MOUNTAIN VIEW, CA",3/5/2015,7/30/2015,CERTIFIED
KIRANAM TECHNOLOGIES INC,DATA SCIENTIST,72530,"IRVING, TX",3/5/2015,9/3/2015,CERTIFIED
AUDIENCE MEDIA LLC,DATA SCIENTIST,87277,"PASADENA, CA",3/5/2015,9/4/2015,CERTIFIED
SENZARI INC,DATA SCIENTIST,94000,"MIAMI, FL",3/5/2015,9/1/2015,CERTIFIED
CELECT INC,DATA SCIENTIST,95000,"BOSTON, MA",3/5/2015,9/2/2015,CERTIFIED
CYLANCE INC,DATA SCIENTIST,103400,"IRVINE, CA",3/5/2015,9/1/2015,CERTIFIED
QUID INC,DATA SCIENTIST,110000,"SAN FRANCISCO, CA",3/5/2015,8/29/2015,CERTIFIED
SANO INTELLIGENCE INC,DATA SCIENTIST,117230,"SAN FRANCISCO, CA",3/5/2015,8/2/2015,WITHDRAWN
SANO INTELLIGENCE INC,DATA SCIENTIST,117230,"SAN FRANCISCO, CA",3/5/2015,8/2/2015,CERTIFIED
WORKDAY INC,DATA SCIENTIST,118061,"SAN FRANCISCO, CA, CA",3/5/2015,8/25/2015,CERTIFIED
EDATAFORCE CONSULTING LLC,DATA SCIENTIST,124800,"NEW YORK, NY",3/5/2015,9/4/2015,CERTIFIED
OMAZE INC,DATA SCIENTIST,125000,"VENICE, CA",3/5/2015,9/4/2015,CERTIFIED
FRACTAL ANALYTICS INC,DATA SCIENTIST,62795,"JERSEY CITY, NJ",3/4/2015,9/1/2015,CERTIFIED
VIGILANZ CORPORATION,DATA SCIENTIST,91125,"MINNEAPOLIS, MN",3/4/2015,9/3/2015,CERTIFIED
TRANS-FAST REMITTANCE LLC,DATA SCIENTIST,92000,"NEW YORK, NY",3/4/2015,8/1/2015,CERTIFIED
LINKEDIN CORPORATION,DATA SCIENTIST,93000,"MOUNTAIN VIEW, CA",3/4/2015,9/3/2015,CERTIFIED
HIREKU,DATA SCIENTIST,100000,"PITTSBURGH, PA",3/4/2015,9/3/2015,CERTIFIED
HIREKU,DATA SCIENTIST,100000,"PITTSBURGH, PA",3/4/2015,9/3/2015,CERTIFIED
CYLANCE INC,DATA SCIENTIST,103400,"IRVINE, CA",3/4/2015,3/9/2015,WITHDRAWN
APPNEXUS INC,DATA SCIENTIST,135000,"NEW YORK CITY, NY",3/4/2015,9/2/2015,CERTIFIED
RADIUS INTELLIGENCE INC,DATA SCIENTIST,136573,"SAN FRANCISCO, CA",3/4/2015,9/1/2015,CERTIFIED
AIRBNB INC,DATA SCIENTIST,140000,"SAN FRANCISCO, CA",3/4/2015,3/23/2015,CERTIFIED
POSHMARK INC,DATA SCIENTIST,160000,"MENLO PARK, CA",3/4/2015,3/18/2015,CERTIFIED
ADOBE SYSTEMS INCORPORATED,DATA SCIENTIST,183066,"SAN JOSE, CA",3/4/2015,8/6/2015,CERTIFIED
